Date,value
2021-07-01 00:00:00,-0.8189268416364193
2021-07-01 00:10:00,-0.8446122973589708
2021-07-01 00:20:00,-0.8107365463649874
2021-07-01 00:30:00,-0.8434811479325034
2021-07-01 00:40:00,-0.7495079193844257
2021-07-01 00:50:00,
2021-07-01 01:00:00,-0.7014236310716524
2021-07-01 01:10:00,-0.7824255660902121
2021-07-01 01:20:00,-0.7956602847273213
2021-07-01 01:30:00,-0.7502520215896341
2021-07-01 01:40:00,-0.787212932260162
2021-07-01 01:50:00,-0.7785840335238282
2021-07-01 02:00:00,-0.8033461077975149
2021-07-01 02:10:00,-0.9191183985527621
2021-07-01 02:20:00,-0.721283813149688
2021-07-01 02:30:00,-0.6602191067104419
2021-07-01 02:40:00,-0.8123581362742593
2021-07-01 02:50:00,-0.6541150999627441
2021-07-01 03:00:00,-0.8711167368028573
2021-07-01 03:10:00,-0.8701864049916207
2021-07-01 03:20:00,-0.8112523359575
2021-07-01 03:30:00,-0.696648034694389
2021-07-01 03:40:00,-0.813773300439096
2021-07-01 03:50:00,-0.7562385997876125
2021-07-01 04:00:00,-0.8980635721381817
2021-07-01 04:10:00,-1.027234940028653
2021-07-01 04:20:00,-0.9500688758597378
2021-07-01 04:30:00,-0.7877519866647877
2021-07-01 04:40:00,-0.6829041420216627
2021-07-01 04:50:00,-0.7964471677539314
2021-07-01 05:00:00,-0.7548749605103093
2021-07-01 05:10:00,-0.6831311203471669
2021-07-01 05:20:00,-0.8087944667518937
2021-07-01 05:30:00,-0.7300188672440643
2021-07-01 05:40:00,-0.8044382952591703
2021-07-01 05:50:00,-0.8024229751780343
2021-07-01 06:00:00,-0.7950391850419115
2021-07-01 06:10:00,-0.8635770222236092
2021-07-01 06:20:00,-0.8551034584564846
2021-07-01 06:30:00,-0.8665019653212869
2021-07-01 06:40:00,
2021-07-01 06:50:00,-0.793345135011603
2021-07-01 07:00:00,-0.7825238132197496
2021-07-01 07:10:00,-0.8555994606726932
2021-07-01 07:20:00,-0.8033385669394951
2021-07-01 07:30:00,-0.7415666794982747
2021-07-01 07:40:00,-0.735379780382307
2021-07-01 07:50:00,-1.0022222383038164
2021-07-01 08:00:00,-0.8939823794071823
2021-07-01 08:10:00,-0.9160743774447054
2021-07-01 08:20:00,-0.6903009010672148
2021-07-01 08:30:00,-0.7691640815185398
2021-07-01 08:40:00,
2021-07-01 08:50:00,-0.7497703989998794
2021-07-01 09:00:00,-0.771955253228681
2021-07-01 09:10:00,-0.8389635677337375
2021-07-01 09:20:00,-0.7404859316603725
2021-07-01 09:30:00,-0.7430444885264381
2021-07-01 09:40:00,-0.7329944797281375
2021-07-01 09:50:00,-0.9998326015122233
2021-07-01 10:00:00,-0.7476548756399386
2021-07-01 10:10:00,-0.8520710415215212
2021-07-01 10:20:00,-0.9424617030708998
2021-07-01 10:30:00,-0.9902608271883654
2021-07-01 10:40:00,-0.9031923040027753
2021-07-01 10:50:00,-0.9531060100014923
2021-07-01 11:00:00,-0.7624912374541988
2021-07-01 11:10:00,-0.7734589048563173
2021-07-01 11:20:00,-0.775915204445323
2021-07-01 11:30:00,-0.807162531205721
2021-07-01 11:40:00,-0.7847172765651194
2021-07-01 11:50:00,-0.8148889961339294
2021-07-01 12:00:00,-0.855879112053778
2021-07-01 12:10:00,-0.8678768848540213
2021-07-01 12:20:00,-0.8926222818989787
2021-07-01 12:30:00,-0.7684817214460303
2021-07-01 12:40:00,-0.807782134689998
2021-07-01 12:50:00,-0.9523057713124131
2021-07-01 13:00:00,-0.7332924221314361
2021-07-01 13:10:00,-0.8230966308702788
2021-07-01 13:20:00,-0.9018805610969781
2021-07-01 13:30:00,-0.7647474177241909
2021-07-01 13:40:00,-0.8487425085584615
2021-07-01 13:50:00,-0.8557761047057002
2021-07-01 14:00:00,-0.7766045595776567
2021-07-01 14:10:00,-0.9260598841100425
2021-07-01 14:20:00,-0.7498214421815708
2021-07-01 14:30:00,-0.7029721825344862
2021-07-01 14:40:00,
2021-07-01 14:50:00,-0.8348700485590248
2021-07-01 15:00:00,-0.7729572685589339
2021-07-01 15:10:00,-0.8655344835900516
2021-07-01 15:20:00,-0.7968274628612203
2021-07-01 15:30:00,-0.7413376050279682
2021-07-01 15:40:00,-0.7116203164233605
2021-07-01 15:50:00,-0.8642679971565503
2021-07-01 16:00:00,-0.8932579920408961
2021-07-01 16:10:00,-0.8373221478153127
2021-07-01 16:20:00,-0.7094834551746811
2021-07-01 16:30:00,-0.8498310295907582
2021-07-01 16:40:00,-0.9861628796108804
2021-07-01 16:50:00,
2021-07-01 17:00:00,-0.8926158291058055
2021-07-01 17:10:00,-0.8838028621864839
2021-07-01 17:20:00,-0.7343821672091309
2021-07-01 17:30:00,-0.860321207874607
2021-07-01 17:40:00,-0.7752103402246885
2021-07-01 17:50:00,-0.8585096240522642
2021-07-01 18:00:00,-0.7257138283178566
2021-07-01 18:10:00,-0.8138523897550048
2021-07-01 18:20:00,-0.8503112033643047
2021-07-01 18:30:00,-0.732794395178496
2021-07-01 18:40:00,-0.7868392371342869
2021-07-01 18:50:00,
2021-07-01 19:00:00,-0.8339275756260552
2021-07-01 19:10:00,
2021-07-01 19:20:00,-0.810767086538951
2021-07-01 19:30:00,-0.8249285820350041
2021-07-01 19:40:00,-0.8579356161133613
2021-07-01 19:50:00,-0.741221107421471
2021-07-01 20:00:00,-0.9112933987228582
2021-07-01 20:10:00,
2021-07-01 20:20:00,-0.8800384487185641
2021-07-01 20:30:00,-0.7489156643717481
2021-07-01 20:40:00,-0.8200785783739987
2021-07-01 20:50:00,
2021-07-01 21:00:00,-0.7769241820108893
2021-07-01 21:10:00,-0.8729916434458089
2021-07-01 21:20:00,-0.7651192519080895
2021-07-01 21:30:00,-0.8214193393472371
2021-07-01 21:40:00,-0.8202226838607659
2021-07-01 21:50:00,-0.7235468545755968
2021-07-01 22:00:00,-0.8544296287676845
2021-07-01 22:10:00,-0.7608283760328235
2021-07-01 22:20:00,-0.7056701198654245
