Date,value,anomalies
2021-07-01 00:00:00,1.556654262926195e-16,False
2021-07-01 00:10:00,1.164489767778563e-16,False
2021-07-01 00:20:00,1.3057275636525775e-16,False
2021-07-01 00:30:00,1.4905095016695556e-16,False
2021-07-01 00:40:00,,False
2021-07-01 00:50:00,1.2835998189609935e-16,False
2021-07-01 01:00:00,1.4029635880875916e-16,False
2021-07-01 01:10:00,1.2197331905894192e-16,False
2021-07-01 01:20:00,1.3879584243782493e-16,False
2021-07-01 01:30:00,2.069250370758531e-16,False
2021-07-01 01:40:00,1.5530541173232587e-16,False
2021-07-01 01:50:00,1.4365857306641035e-16,False
2021-07-01 02:00:00,6.939675944879882e-17,False
2021-07-01 02:10:00,1.178884762123408e-16,False
2021-07-01 02:20:00,8.486765831529498e-17,False
2021-07-01 02:30:00,5.120732895616824e-17,False
2021-07-01 02:40:00,1.0244549253556702e-16,False
2021-07-01 02:50:00,1.4138288652822766e-16,False
2021-07-01 03:00:00,2.000046502602638e-16,False
2021-07-01 03:10:00,5.640344193898061e-17,False
2021-07-01 03:20:00,1.0157772805319858e-16,False
2021-07-01 03:30:00,1.1648881050657703e-16,False
2021-07-01 03:40:00,1.419912195010855e-16,False
2021-07-01 03:50:00,1.4013757192650874e-16,False
2021-07-01 04:00:00,1.3056112962141864e-16,False
2021-07-01 04:10:00,1.491736909115645e-16,False
2021-07-01 04:20:00,1.2892004775143137e-16,False
2021-07-01 04:30:00,1.7332262908994935e-16,False
2021-07-01 04:40:00,1.0574321080395662e-16,False
2021-07-01 04:50:00,1.428098824611602e-16,False
2021-07-01 05:00:00,1.7191621151544095e-16,False
2021-07-01 05:10:00,1.350202825227858e-16,False
2021-07-01 05:20:00,9.212725325029215e-17,False
2021-07-01 05:30:00,1.3618784708833283e-16,False
2021-07-01 05:40:00,1.1922151395519664e-16,False
2021-07-01 05:50:00,6.746102007227904e-17,False
2021-07-01 06:00:00,9.728836075537017e-17,False
2021-07-01 06:10:00,7.350184635889463e-17,False
2021-07-01 06:20:00,2.065181317457864e-16,False
2021-07-01 06:30:00,7.132695878386553e-17,False
2021-07-01 06:40:00,1.9795383816417125e-16,False
2021-07-01 06:50:00,1.2598486059879578e-16,False
2021-07-01 07:00:00,1.510049536289572e-16,False
2021-07-01 07:10:00,1.2859049289576505e-16,False
2021-07-01 07:20:00,9.311859507400748e-17,False
2021-07-01 07:30:00,1.320323305857247e-16,False
2021-07-01 07:40:00,2.0575599789311734e-16,False
2021-07-01 07:50:00,8.257482206651325e-17,False
2021-07-01 08:00:00,7.135285057404239e-17,False
2021-07-01 08:10:00,1.4134526800577948e-16,False
2021-07-01 08:20:00,1.8154324992987632e-16,False
2021-07-01 08:30:00,9.827874223772085e-17,False
2021-07-01 08:40:00,1.5401938768729969e-16,False
2021-07-01 08:50:00,1.1751807632939428e-16,False
2021-07-01 09:00:00,3.938414004534229e-17,False
2021-07-01 09:10:00,8.376549790644355e-17,False
2021-07-01 09:20:00,6.653087621716482e-17,False
2021-07-01 09:30:00,1.1966709804797918e-16,False
2021-07-01 09:40:00,5.938637291345647e-17,False
2021-07-01 09:50:00,6.835265181983536e-17,False
2021-07-01 10:00:00,1.4975589598956962e-16,False
2021-07-01 10:10:00,1.3626217059808202e-16,False
2021-07-01 10:20:00,1.2286988123583372e-16,False
2021-07-01 10:30:00,1.3928122050728849e-16,False
2021-07-01 10:40:00,1.9258784333030604e-16,False
2021-07-01 10:50:00,1.187621499384602e-16,False
2021-07-01 11:00:00,1.8154359561273248e-16,False
2021-07-01 11:10:00,9.921221783119668e-17,False
2021-07-01 11:20:00,6.69930377164181e-17,False
2021-07-01 11:30:00,1.4473943860332203e-16,False
2021-07-01 11:40:00,6.712174705054428e-17,False
2021-07-01 11:50:00,1.482887561668919e-16,False
